"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"107325";"GM1714";"2002MM01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107326";"GM1714";"2002MM02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107327";"GM1714";"2002MM03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107328";"GM1714";"2002MM04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107329";"GM1714";"2002MM05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107330";"GM1714";"2002MM06";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107331";"GM1714";"2002MM07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107332";"GM1714";"2002MM08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107333";"GM1714";"2002MM09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107334";"GM1714";"2002MM10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107335";"GM1714";"2002MM11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107336";"GM1714";"2002MM12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107337";"GM1714";"2002JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107338";"GM1714";"2003MM01";"   24828";"      23";"      29";"      90";"      48";"      42";"      70";"      64";"       6";"";"      14";"    0.06";"      14";"    0.06";"   24842"
"107339";"GM1714";"2003MM02";"   24842";"      21";"      33";"      46";"      31";"      15";"      44";"      37";"       7";"";"     -10";"   -0.04";"       4";"    0.02";"   24832"
"107340";"GM1714";"2003MM03";"   24832";"      18";"      29";"      64";"      39";"      25";"      54";"      42";"      12";"";"      -1";"    0.00";"       3";"    0.01";"   24831"
